page,content,scraped_at
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:16:58.499102
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:16:59.724779
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:02.011510
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:04.549176
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:06.196979
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:08.505731
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:10.892319
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:12.903490
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:22.275029
Lefaso.net,"Ouagadougou : Une décharge à Tanghin suffoque sous le poids des ordures, les riverains tournent le regard vers les autorités

Sous le regard indifférent des passants d’une rue de Tanghin, dans l’arrondissement de Nongrmassom, une pile d’ordures s’accumule au bord de la route. Entre l’incivisme des riverains et l’inaction des autorités municipales, les responsabilités semblent partagées.",2025-11-16T02:17:22.314845
Lefaso.net,10e édition des Sotigui Awards : Le Sénégal remporte l’or avec l’acteur Ibrahima Mbaye… En voir plus,2025-11-16T02:17:22.423296
Lefaso.net,Burkina Faso : L’Institut supérieur de sécurité humaine et Maison Sport scellent un partenariat pour dynamiser le secteur sportif… En voir plus,2025-11-16T02:17:22.467064
Lefaso.net,Voyage virtuel : Découvrez les trésors du Village artisanal de Ouagadougou sur Lefaso TV,2025-11-16T02:17:22.524192
Lefaso.net,Protection sociale : La CNSS s’assure du respect de la législation dans les boulangeries et pâtisseries de Ouagadougou… En voir plus,2025-11-16T02:17:22.576803
Lefaso.net,19 octobre 2003 - 19 octobre 2025 : 22 ans d'engagement pour une information professionnelle sur le Burkina Faso. Merci à nos fasonautes pour leur fidélité et leur soutien. Que Dieu bénisse la suite.,2025-11-16T02:17:24.991543
